PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
2023 Round 1 Pick 4 (4) (LAS),U,74305,U,75792,U,83371,OPT,94740,RFA,,,Washington Mystics

2023 Round 2 Pick 8 (20) (WAS),U,65290,U,66597,U,73258,OPT,83248,RFA,,,Washington Mystics

2023 Round 3 Pick 8 (32) (WAS),U,62285,U,63532,U,66710,OPT,76240,RFA,,,Washington Mystics

2024 Round 1 Pick ? (?) (WAS),,,U,0,U,0,U,0,OPT,0,,Washington Mystics

2024 Round 3 Pick ? (?) (WAS),,,U,64154,U,65438,U,68711,OPT,78527,,Washington Mystics

2025 Round 1 Pick ? (?) (WAS),,,,,U,0,U,0,U,0,,Washington Mystics

2025 Round 3 Pick ? (?) (WAS),,,,,U,66079,U,67401,U,70773,,Washington Mystics
