,Player,Age,Unnamed: 0,PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
51,Ezi Magbegor,23,2,Ezi Magbegor,V,159650.0,V,155000.0,UFA,,0,,0,0,0,Seattle Storm
52,Gabby Williams,26,16,Gabby Williams,RFA,,0,,0,,0,,0,0,0,Seattle Storm
53,Han Xu,23,12,Han Xu,TC,62285.0,Reserved,,0,,0,,0,0,0,New York Liberty
54,Iliana Rupert,21,9,Iliana Rupert,U,67634.0,U,74398.0,OPT,84543.0,RFA,,0,0,0.0,Atlanta Dream
55,Isabelle Harrison,29,2,Isabelle Harrison,V,160000.0,V,160000.0,UFA,,0,,0,0,0,Chicago Sky
56,Jackie Young,25,3,Jackie Young,V,165000.0,V,169950.0,UFA,,0,,0,0,0,Las Vegas Aces
57,Jantel Lavender,34,16,Jantel Lavender,Buyout,119000.0,0,,0,,0,,0,0,0.0,Indiana Fever
58,Jantel Lavender,34,15,Jantel Lavender,UFA,,0,,0,,0,,0,0,0,Seattle Storm
59,Jasmine Dickey,23,11,Jasmine Dickey,U,62285.0,U,64767.0,OPT,74019.0,RFA,,0,0,0,Dallas Wings
60,Jasmine Thomas,33,1,Jasmine Thomas,V,190000.0,UFA,,0,,0,,0,0,"2019, 2020",Los Angeles Sparks
61,Jasmine Walker,25,7,Jasmine Walker,U,70000.0,Reserved,,0,,0,,0,0,0,Seattle Storm
62,Jazmine Jones,26,11,Jazmine Jones,TC,62285.0,RFA,,0,,0,,0,0,0.0,Washington Mystics
63,Jazmine Jones,26,15,Jazmine Jones,Reserved,,0,,0,,0,,0,0,0.0,Washington Mystics
64,Jennie Simms,28,10,Jennie Simms,TC,62285.0,Reserved,,0,,0,,0,0,0,Phoenix Mercury
65,Jessica Shepard,26,5,Jessica Shepard,U,120000.0,U,123600.0,UFA,,0,,0,0,0,Minnesota Lynx
66,Jewell Loyd,29,0,Jewell Loyd,V,234936.0,UFA,,0,,0,,0,0,"2022, 2023",Seattle Storm
67,Jocelyn Willoughby,25,7,Jocelyn Willoughby,R,79690.0,RFA,,0,,0,,0,0,0,New York Liberty
68,Jonquel Jones,29,0,Jonquel Jones,V,211150.0,UFA,,0,,0,,0,0,"2022, 2023",New York Liberty
69,Jordin Canada,27,7,Jordin Canada,TC,74305.0,UFA,,0,,0,,0,0,0,Los Angeles Sparks
70,Julie Allemand,26,18,Julie Allemand,Full Susp,,SuspCE,,0,,0,,0,0,0,Chicago Sky
71,Kahleah Copper,28,0,Kahleah Copper,V,205000.0,UFA,,0,,0,,0,0,"2022, 2023",Chicago Sky
72,Kaila Charles,25,10,Kaila Charles,TC,62285.0,Reserved,,0,,0,,0,0,0,Seattle Storm
73,Karlie Samuelson,27,10,Karlie Samuelson,TC,74305.0,RFA,,0,,0,,0,0,0,Los Angeles Sparks
74,Katie Lou Samuelson,25,4,Katie Lou Samuelson,V,130000.0,UFA,,0,,0,,0,0,0,Los Angeles Sparks
75,Kayla McBride,30,1,Kayla McBride,V,201984.0,UFA,,0,,0,,0,0,0,Minnesota Lynx
76,Kayla Thornton,30,5,Kayla Thornton,V,109716.0,UFA,,0,,0,,0,0,0,New York Liberty
77,Kelsey Mitchell,27,0,Kelsey Mitchell,V,206000.0,V,212000.0,UFA,,0,,0,0,0.0,Indiana Fever
78,Kelsey Plum,28,1,Kelsey Plum,V,200000.0,V,200000.0,UFA,,0,,0,0,0,Las Vegas Aces
79,Khayla Pointer,24,14,Khayla Pointer,TC,62285.0,Reserved,,0,,0,,0,0,0.0,Indiana Fever
80,Kia Vaughn,36,13,Kia Vaughn,UFA,,0,,0,,0,,0,0,0.0,Atlanta Dream
81,Kiah Stokes,30,7,Kiah Stokes,U,81000.0,UFA,,0,,0,,0,0,0,Las Vegas Aces
82,Kiana Williams,23,13,Kiana Williams,TC,62285.0,Reserved,,0,,0,,0,0,0,Minnesota Lynx
83,Kianna Smith,23,16,Kianna Smith,Reserved,,0,,0,,0,,0,0,0,Connecticut Sun
84,Kierstan Bell,23,10,Kierstan Bell,U,67634.0,U,74398.0,OPT,84543.0,RFA,,0,0,0,Las Vegas Aces
85,Kristi Toliver,36,13,Kristi Toliver,UFA,,0,,0,,0,,0,0,0,Los Angeles Sparks
86,Kristine Anigwe,26,9,Kristine Anigwe,TC,74305.0,UFA,,0,,0,,0,0,0,Chicago Sky
87,Kristy Wallace,27,10,Kristy Wallace,U,64657.0,U,71124.0,OPT,80823.0,RFA,,0,0,0.0,Indiana Fever
88,Lexie Brown,28,6,Lexie Brown,U,78000.0,U,80340.0,UFA,,0,,0,0,0,Los Angeles Sparks
89,Lexie Hull,23,6,Lexie Hull,U,70609.0,U,77669.0,OPT,88261.0,RFA,,0,0,0.0,Indiana Fever
90,Li Yueru,24,11,Li Yueru,U,62285.0,U,64767.0,OPT,74019.0,RFA,,0,0,0,Chicago Sky
91,Lindsay Allen,28,8,Lindsay Allen,TC,74305.0,UFA,,0,,0,,0,0,0,Minnesota Lynx
92,Lorela Cubaj,24,12,Lorela Cubaj,TC,62285.0,Reserved,,0,,0,,0,0,0.0,Atlanta Dream
93,Marina Mabrey,26,1,Marina Mabrey,V,202000.0,V,208000.0,V,210000.0,UFA,,0,0,0,Chicago Sky
94,Marine Johannès,28,15,Marine Johannès,TC,62285.0,Reserved,,0,,0,,0,0,0,New York Liberty
95,Maya Caldwell,24,7,Maya Caldwell,U,68000.0,Reserved,,0,,0,,0,0,0.0,Indiana Fever
96,Megan Gustafson,26,7,Megan Gustafson,TC,74305.0,UFA,,0,,0,,0,0,0,Phoenix Mercury
97,Mercedes Russell,27,1,Mercedes Russell,V,160000.0,V,160000.0,UFA,,0,,0,0,0,Seattle Storm
98,Michaela Onyenwere,23,6,Michaela Onyenwere,U,75407.0,OPT,85690.0,RFA,,0,,0,0,0,Phoenix Mercury
99,Monique Billings,26,3,Monique Billings,V,145000.0,UFA,,0,,0,,0,0,0.0,Atlanta Dream
100,Moriah Jefferson,29,5,Moriah Jefferson,V,137500.0,V,141500.0,V,145500.0,UFA,,0,0,0,Phoenix Mercury
101,Myisha Hines-Allen,26,3,Myisha Hines-Allen,V,175100.0,V,180200.0,UFA,,0,,0,0,0.0,Washington Mystics
102,NaLyssa Smith,22,5,NaLyssa Smith,U,73584.0,U,80943.0,OPT,91981.0,RFA,,0,0,0.0,Indiana Fever
103,Napheesa Collier,26,0,Napheesa Collier,U,202154.0,U,208219.0,U,214284.0,UFA,,0,0,0,Minnesota Lynx
104,Natalie Achonwa,30,3,Natalie Achonwa,V,155100.0,UFA,,0,,0,,0,0,0,Minnesota Lynx
105,Natasha Cloud,31,2,Natasha Cloud,V,190000.0,UFA,,0,,0,,0,0,0.0,Washington Mystics
106,Natasha Howard,31,1,Natasha Howard,V,227900.0,V,234350.0,UFA,,0,,0,0,"2021, 2022, 2023, 2024",Dallas Wings
107,Natisha Hiedeman,26,5,Natisha Hiedeman,U,120000.0,U,120000.0,UFA,,0,,0,0,0,Connecticut Sun
108,Naz Hillmon,22,10,Naz Hillmon,U,64657.0,U,71124.0,OPT,80823.0,RFA,,0,0,0.0,Atlanta Dream
109,Nia Clouden,22,8,Nia Clouden,U,67634.0,U,74398.0,OPT,84543.0,RFA,,0,0,0,Connecticut Sun
110,Nia Coffey,27,4,Nia Coffey,V,130000.0,UFA,,0,,0,,0,0,0.0,Atlanta Dream
111,Nneka Ogwumike,32,2,Nneka Ogwumike,V,169500.0,UFA,,0,,0,,0,0,"2021, 2022",Los Angeles Sparks
112,Olivia Nelson-Ododa,22,9,Olivia Nelson-Ododa,U,64657.0,U,71124.0,OPT,80823.0,RFA,,0,0,0,Connecticut Sun
113,Queen Egbo,22,8,Queen Egbo,U,67634.0,U,74398.0,OPT,84543.0,RFA,,0,0,0.0,Indiana Fever
114,Rachel Banham,29,9,Rachel Banham,TC,74305.0,UFA,,0,,0,,0,0,0,Minnesota Lynx
115,Rae Burrell,22,11,Rae Burrell,U,67634.0,U,74398.0,OPT,84543.0,RFA,,0,0,0,Los Angeles Sparks
116,Rebecca Allen,30,4,Rebecca Allen,V,136850.0,UFA,,0,,0,,0,0,0,Connecticut Sun
117,Rebekah Gardner,32,6,Rebekah Gardner,U,100000.0,Reserved,,0,,0,,0,0,0,Chicago Sky
118,Rennia Davis,24,11,Rennia Davis,TC,62285.0,Reserved,,0,,0,,0,0,0.0,Indiana Fever
119,Reshanda Gray,29,9,Reshanda Gray,TC,74305.0,UFA,,0,,0,,0,0,0,Los Angeles Sparks
120,Rhyne Howard,22,8,Rhyne Howard,U,73584.0,U,80943.0,OPT,91981.0,RFA,,0,0,0.0,Atlanta Dream
121,Riquna Williams,32,4,Riquna Williams,U,149350.0,UFA,,0,,0,,0,0,0,Las Vegas Aces
122,Rui Machida,30,14,Rui Machida,UFA,,0,,0,,0,,0,0,0.0,Washington Mystics
